Block_ID,HDFS_BW,HDFSTranmissionTime,Mapper_ID,Mapper_VM_MIPS,MapExecutionTime ,MapperBW,MapperTransmissionTime,Reducer_ID,Reducer_VM_MIPS,ReducerExecutionTime ,ReducerBW,ReducerTransmissionTime,Block_ID,Block_BW,BlockTransmissionTime,TransactionTime
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,30,2.53,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1578.79
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,30,2.53,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1007.64
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,16.76,3.25,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1811.61
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,16.76,3.25,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1400.96
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1761.83
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1376.54
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1850.44
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1246.63
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1850.44
HDFS_Block_208,11.81,80.63,mapper207,652289,765.49,18.41,4.16,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1246.63
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,16.76,4.51,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1855.67
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,16.76,4.51,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1284.52
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,30,2.53,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2085.79
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,30,2.53,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1675.14
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,16.04,4.91,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2037.48
HDFS_Block_153,2.68,355.03,mapper152,652496,765.99,16.04,4.91,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1652.19
